file_name;uiqm;uicm;uism;uiconm
1.jpg;0.359780;2.954440;0.397870;0.336170
10.jpg;0.354070;1.467920;0.364560;0.344420
100.jpg;0.447990;1.262250;0.548000;0.433310
1000.jpg;0.231470;1.549380;0.178360;0.225460
1001.jpg;0.236310;1.494410;0.173250;0.231590
1002.jpg;0.272440;1.762200;0.207610;0.266040
1003.jpg;0.280000;1.854380;0.244580;0.270510
1004.jpg;0.255420;1.859570;0.221730;0.245550
1005.jpg;0.254010;1.777020;0.210820;0.245570
1006.jpg;0.233000;1.468360;0.175130;0.228030
1007.jpg;0.255020;1.255250;0.204430;0.251310
1008.jpg;0.257270;1.408080;0.211210;0.252000
1009.jpg;0.237460;1.615470;0.182680;0.231110
101.jpg;0.621340;0.613816;0.771170;0.609020
1010.jpg;0.230610;1.424290;0.159810;0.227040
1011.jpg;0.237260;1.567500;0.175720;0.231850
1012.jpg;0.231590;1.559480;0.167600;0.226400
1013.jpg;0.222750;1.467750;0.157270;0.218340
1014.jpg;0.225320;1.509600;0.157230;0.220820
1015.jpg;0.223330;1.441300;0.164010;0.218620
1016.jpg;0.214410;1.306870;0.148770;0.211210
1017.jpg;0.213640;1.450970;0.143150;0.209700
1018.jpg;0.207120;1.486830;0.139530;0.202610
1019.jpg;0.217410;1.207910;0.167550;0.213720
102.jpg;0.618080;0.658930;0.673040;0.613220
1020.jpg;0.205910;1.031060;0.151820;0.203870
1021.jpg;0.200510;1.151240;0.151430;0.197070
1022.jpg;0.229520;1.210940;0.152490;0.228140
1023.jpg;0.206950;1.140110;0.150130;0.204280
1024.jpg;0.207620;1.119450;0.149740;0.205210
1025.jpg;0.208280;0.871006;0.147360;0.208090
1026.jpg;0.224390;1.693990;0.159610;0.218150
1027.jpg;0.221940;1.751560;0.168910;0.214250
1028.jpg;0.224750;1.574880;0.157250;0.219670
1029.jpg;0.232050;1.694670;0.166350;0.225940
103.jpg;0.638840;0.763018;0.698480;0.632940
1030.jpg;0.242620;1.650370;0.189530;0.235900
1031.jpg;0.224790;1.557190;0.169710;0.218830
1032.jpg;0.240130;1.420990;0.184340;0.235430
1033.jpg;0.255470;1.340880;0.202660;0.251280
1034.jpg;0.244150;1.567310;0.193060;0.237930
1035.jpg;0.249710;1.544010;0.199390;0.243660
1036.jpg;0.244780;1.634020;0.192960;0.238100
1037.jpg;0.267880;1.807100;0.219770;0.259710
1038.jpg;0.257700;1.981970;0.208030;0.248210
1039.jpg;0.281690;1.885130;0.239340;0.272540
104.jpg;0.533220;0.566001;0.505750;0.535230
1040.jpg;0.278420;1.883030;0.235800;0.269280
1041.jpg;0.260510;1.787590;0.209250;0.252700
1042.jpg;0.214870;1.063490;0.151710;0.213400
1043.jpg;0.205550;1.167840;0.148260;0.202690
1044.jpg;0.268260;2.062880;0.239530;0.256480
1045.jpg;0.294780;2.062810;0.258300;0.283850
1046.jpg;0.281660;2.065360;0.263180;0.269120
1047.jpg;0.298560;2.034880;0.275190;0.286800
1048.jpg;0.330070;2.221120;0.335780;0.314680
1049.jpg;0.355650;2.391320;0.393490;0.336460
