file_name;uiqm;uicm;uism;uiconm
1.jpg;0.904060;3.906380;1.690800;0.815400
10.jpg;0.831230;2.601980;1.309100;0.777790
100.jpg;0.953470;2.554480;1.756800;0.874490
1000.jpg;0.808380;4.253320;1.258000;0.744070
1001.jpg;0.841180;4.307160;1.313600;0.774820
1002.jpg;0.889730;4.031510;1.414800;0.821590
1003.jpg;0.888510;4.132710;1.437300;0.817600
1004.jpg;0.806960;4.106330;1.285300;0.741430
1005.jpg;0.824100;4.188690;1.326200;0.756090
1006.jpg;0.865620;4.351660;1.371200;0.796370
1007.jpg;0.853600;3.848290;1.345300;0.789370
1008.jpg;0.892250;3.995350;1.450400;0.821670
1009.jpg;0.886090;4.374150;1.410600;0.815250
101.jpg;1.059200;1.948410;1.667200;1.002000
1010.jpg;0.920090;4.489190;1.441200;0.848890
1011.jpg;0.874020;4.177480;1.378300;0.806310
1012.jpg;0.889830;4.393640;1.393000;0.820640
1013.jpg;0.930570;4.556060;1.450800;0.859010
1014.jpg;0.911770;4.428270;1.450200;0.839570
1015.jpg;0.869150;4.316130;1.355900;0.801750
1016.jpg;0.899380;4.593090;1.393000;0.829480
1017.jpg;0.956230;4.884160;1.545500;0.876580
1018.jpg;0.930930;4.925870;1.535800;0.849470
1019.jpg;0.936110;4.623190;1.604700;0.851810
102.jpg;1.018900;2.531930;1.509000;0.966520
1020.jpg;0.926290;4.623160;1.552800;0.845390
1021.jpg;0.853630;4.373100;1.467100;0.775200
1022.jpg;0.929860;4.292740;1.630700;0.845460
1023.jpg;0.926880;4.709650;1.587700;0.842470
1024.jpg;0.928640;4.608900;1.591500;0.844860
1025.jpg;0.953370;4.651160;1.678000;0.864350
1026.jpg;0.891440;4.550610;1.501100;0.812230
1027.jpg;0.837400;4.510790;1.377000;0.763850
1028.jpg;0.865620;4.502460;1.423100;0.790890
1029.jpg;0.860300;4.351790;1.385000;0.789430
103.jpg;1.041500;2.589640;1.575200;0.985240
1030.jpg;0.865550;4.269580;1.433700;0.791780
1031.jpg;0.832830;4.367550;1.340400;0.763020
1032.jpg;0.818500;3.823580;1.311800;0.754050
1033.jpg;0.826520;3.565300;1.333300;0.763060
1034.jpg;0.805130;3.779050;1.293000;0.741380
1035.jpg;0.819830;3.872910;1.330500;0.753560
1036.jpg;0.826700;4.023550;1.326600;0.760200
1037.jpg;0.843320;4.019010;1.350200;0.776400
1038.jpg;0.832190;4.276560;1.327200;0.764140
1039.jpg;0.889570;4.064910;1.476100;0.816070
